year,sidocode,guguncode,occrrnc_cnt,동,caslt_cnt,dth_dnv_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,lo_crd,la_crd
2015,서울,강남구,5,서울특별시 강남구1,5,0,1,3,1,127.023858354581,37.507699584169
2015,서울,강남구,3,서울특별시 강남구2,3,0,1,2,0,127.076398597518,37.492494767920
2015,서울,강동구,7,서울특별시 강동구1,7,0,3,3,1,127.127707953660,37.537201293506
2015,서울,강동구,3,서울특별시 강동구2,3,0,2,1,0,127.139970249329,37.537491034385
2015,서울,강북구,9,서울특별시 강북구1,10,0,4,6,0,127.026476533766,37.625390073294
2015,서울,강북구,8,서울특별시 강북구2,8,0,5,3,0,127.029087443732,37.618947024387
2015,서울,강북구,5,서울특별시 강북구3,5,1,1,3,0,127.017999152740,37.628681786236
2015,서울,강북구,5,서울특별시 강북구4,7,0,1,6,0,127.016969939812,37.641051171375
2015,서울,강북구,4,서울특별시 강북구5,5,1,3,1,0,127.024974508568,37.629575359816
2015,서울,강북구,4,서울특별시 강북구6,4,1,2,0,1,127.039057286566,37.632851018061
2015,서울,강북구,4,서울특별시 강북구7,4,0,4,0,0,127.042767463049,37.628291002928
2015,서울,강북구,4,서울특별시 강북구8,4,0,3,1,0,127.030919666710,37.614087079956
2015,서울,강북구,4,서울특별시 강북구9,4,0,2,2,0,127.015456820577,37.619323877196
2015,서울,강북구,3,서울특별시 강북구10,3,0,3,0,0,127.034279285662,37.626248737890
2015,서울,강서구,7,서울특별시 강서구1,7,0,3,3,1,126.846964603035,37.530627873479
2015,서울,강서구,5,서울특별시 강서구2,8,0,6,2,0,126.848570759834,37.557333569889
2015,서울,강서구,4,서울특별시 강서구3,4,1,3,0,0,126.851628899955,37.562915213967
2015,서울,강서구,4,서울특별시 강서구4,4,1,2,1,0,126.861863719936,37.532182295877
2015,서울,관악구,5,서울특별시 관악구1,5,0,5,0,0,126.947615792036,37.482564321687
2015,서울,관악구,5,서울특별시 관악구2,5,0,3,2,0,126.954516374632,37.483712064361
2015,서울,관악구,4,서울특별시 관악구3,4,0,4,0,0,126.918879279856,37.473964851398
2015,서울,관악구,4,서울특별시 관악구4,6,0,2,4,0,126.924763422595,37.483492491286
2015,서울,관악구,4,서울특별시 관악구5,4,0,2,2,0,126.940917506539,37.482975798395
2015,서울,관악구,4,서울특별시 관악구6,4,0,1,3,0,126.912925069138,37.487368549520
2015,서울,관악구,4,서울특별시 관악구7,4,0,1,3,0,126.930178958293,37.466849945070
2015,서울,관악구,3,서울특별시 관악구8,3,2,1,0,0,126.956750801409,37.490638703914
2015,서울,관악구,3,서울특별시 관악구9,3,1,1,0,1,126.917526837994,37.489404973462
2015,서울,관악구,3,서울특별시 관악구10,3,0,2,1,0,126.926772892956,37.492314861243
2015,서울,광진구,5,서울특별시 광진구1,5,1,3,1,0,127.081821186600,37.564692632260
2015,서울,광진구,4,서울특별시 광진구2,4,0,2,2,0,127.093204072111,37.555031922386
2015,서울,구로구,5,서울특별시 구로구1,5,1,2,1,1,126.856196794048,37.488215727075
2015,서울,구로구,5,서울특별시 구로구2,8,0,5,3,0,126.882838870618,37.495132217779
2015,서울,구로구,5,서울특별시 구로구3,5,0,3,2,0,126.857403759777,37.493536467935
2015,서울,구로구,5,서울특별시 구로구4,5,0,2,3,0,126.887031761807,37.482363487786
2015,서울,구로구,4,서울특별시 구로구5,4,1,2,0,1,126.891101934208,37.496435746414
2015,서울,구로구,4,서울특별시 구로구6,4,0,4,0,0,126.891353128345,37.489532992854
2015,서울,구로구,4,서울특별시 구로구7,4,0,3,1,0,126.884193765831,37.490108240604
2015,서울,구로구,4,서울특별시 구로구8,5,0,2,3,0,126.832614906254,37.493317876919
2015,서울,구로구,3,서울특별시 구로구9,4,0,2,2,0,126.840115654115,37.494296247575
2015,서울,구로구,3,서울특별시 구로구10,3,0,2,1,0,126.844795223322,37.493757004183
2015,서울,금천구,6,서울특별시 금천구1,6,0,5,1,0,126.902094831412,37.468281896893
2015,서울,금천구,4,서울특별시 금천구2,4,1,1,2,0,126.905386268263,37.457483800938
2015,서울,중랑구,4,서울특별시 노원구1,4,1,2,1,0,127.072538433003,37.637975545736
2015,서울,중랑구,4,서울특별시 노원구2,4,0,3,1,0,127.076131601393,37.623477406858
2015,서울,중랑구,3,서울특별시 노원구3,3,0,2,1,0,127.057248057053,37.664429403195
2015,서울,중랑구,3,서울특별시 노원구4,3,0,2,1,0,127.064218563737,37.664689837867
2015,서울,도봉구,5,서울특별시 도봉구1,7,2,4,1,0,127.044030719144,37.671344118637
2015,서울,도봉구,4,서울특별시 도봉구2,5,0,4,1,0,127.037936252857,37.637587387549
2015,서울,도봉구,4,서울특별시 도봉구3,4,0,2,2,0,127.035466478896,37.647977180503
2015,서울,도봉구,3,서울특별시 도봉구4,3,0,1,2,0,127.027336705626,37.653255455376
2015,서울,동대문구,13,서울특별시 동대문구1,13,0,7,6,0,127.041388808648,37.579064477545
2015,서울,동대문구,8,서울특별시 동대문구2,8,0,6,2,0,127.044996686349,37.581368154817
2015,서울,동대문구,6,서울특별시 동대문구3,6,0,4,2,0,127.034618912834,37.578199929584
2015,서울,동대문구,5,서울특별시 동대문구4,5,0,3,2,0,127.062043454443,37.600821743430
2015,서울,동대문구,5,서울특별시 동대문구5,5,0,3,2,0,127.057600641657,37.577123614664
2015,서울,동대문구,4,서울특별시 동대문구6,4,1,3,0,0,127.037243798264,37.588216407662
2015,서울,동대문구,4,서울특별시 동대문구7,4,1,2,1,0,127.064216111286,37.594818999898
2015,서울,동대문구,4,서울특별시 동대문구8,4,0,3,1,0,127.058052271296,37.572773786382
2015,서울,동대문구,4,서울특별시 동대문구9,4,0,3,1,0,127.062034429746,37.604902115941
2015,서울,동대문구,3,서울특별시 동대문구10,3,0,3,0,0,127.058460586888,37.593554873260
2015,서울,동작구,7,서울특별시 동작구1,10,0,8,1,1,126.930685710978,37.500057492560
2015,서울,동작구,6,서울특별시 동작구2,6,0,3,2,1,126.939538495106,37.504266192931
2015,서울,동작구,5,서울특별시 동작구3,5,0,3,2,0,126.962206195960,37.507597221535
2015,서울,동작구,4,서울특별시 동작구4,4,0,2,2,0,126.924774785529,37.510945160991
2015,서울,마포구,7,서울특별시 마포구1,8,0,3,4,1,126.921492025338,37.555042974155
2015,서울,마포구,3,서울특별시 마포구2,4,1,2,1,0,126.899836144524,37.566073705838
2015,서울,마포구,3,서울특별시 마포구3,3,1,2,0,0,126.920186145875,37.564354688619
2015,서울,마포구,3,서울특별시 마포구4,4,1,0,1,2,126.935661107675,37.554425228942
2015,서울,서대문구,8,서울특별시 서대문구1,9,0,4,3,2,126.944643253884,37.588092827323
2015,서울,서대문구,6,서울특별시 서대문구2,6,2,4,0,0,126.941885857847,37.591585332798
2015,서울,서대문구,6,서울특별시 서대문구3,6,0,4,2,0,126.947814859669,37.593607195816
2015,서울,서대문구,4,서울특별시 서대문구4,4,0,4,0,0,126.955814394919,37.561991507703
2015,서울,서대문구,3,서울특별시 서대문구5,3,1,0,1,1,126.913817248768,37.581993504697
2015,서울,서대문구,3,서울특별시 서대문구6,3,0,3,0,0,126.959826135669,37.572483570661
2015,서울,서초구,4,서울특별시 서초구1,4,0,2,1,1,127.031796331237,37.484917909535
2015,서울,서초구,3,서울특별시 서초구2,4,0,4,0,0,127.004054344234,37.506527453680
2015,서울,성동구,6,서울특별시 성동구1,6,0,3,3,0,127.041962469094,37.570478315423
2015,서울,성동구,5,서울특별시 성동구2,5,0,4,1,0,127.035759935774,37.566172753571
2015,서울,성동구,5,서울특별시 성동구3,5,0,3,2,0,127.034922843216,37.561449897296
2015,서울,성동구,5,서울특별시 성동구4,5,0,3,1,1,127.021915639996,37.548222273840
2015,서울,성동구,3,서울특별시 성동구5,3,1,2,0,0,127.024905367790,37.556701386061
